scale,n,items_full,items_unique,alpha_current_app_full,alpha_current_app_unique,alpha_full,alpha_unique,omega_unique_one_factor,mean_interitem_r_unique,kmo_unique,bartlett_chi2_unique,bartlett_p_unique,parallel_factors_unique
원칙중시,156,40,31,0.6962233932012992,0.337461133096813,0.9180327293205393,0.876359094008626,0.903062955143676,0.21937787893710864,0.8605742101045494,1842.6153054602094,6.767293198023753e-163,2
혁신성,156,42,33,0.6491080679912054,0.5133645068817078,0.9359885208694432,0.9196339271006407,0.927949232245094,0.2774865052935191,0.8762097159063543,2356.257613420029,2.1893549406529204e-228,3
고객중심,156,38,29,0.6780699727610008,0.5119925994386372,0.9276829668685175,0.916076444274746,0.9251489658648913,0.294458400122594,0.8976232946455233,1881.8969538223716,4.082485683284984e-188,2
의사소통,156,41,33,0.7532034343612113,0.6125515845514113,0.9434656426178609,0.9296144725814542,0.9381274960639446,0.31143435507445094,0.8937509762851122,2389.8227268154774,4.6300610009831985e-234,3
도전정신,156,39,31,0.7871666069894955,0.6261970649128474,0.9322132748785411,0.9058659880640233,0.9267806910948471,0.27941332198260443,0.8924398220872906,2245.8724538378524,1.3690872925501236e-230,3
조직시민성(OCB),156,10,10,0.8679433753180066,0.8679433753180066,0.8679433753180066,0.8679433753180066,0.8865488979157258,0.42821368943186067,0.9090737797555654,676.2269536269163,1.5324235069531335e-113,1
역기능행동(CWB),156,10,10,0.8583009728602783,0.8583009728602783,0.8583009728602783,0.8583009728602783,0.8759737693181726,0.4049671601006192,0.8706677045755682,642.9104185950584,8.907167718430436e-107,1
정직성/무결성,156,20,20,0.7573904835161012,0.7573904835161012,0.8212455542426216,0.8212455542426216,0.8448596320447745,0.21063243598682788,0.8015289629972601,897.6430288140721,2.7515896458499952e-92,2
반응왜곡(사회적바람직성),156,30,30,0.9294819350252815,0.9294819350252815,0.9294819350252815,0.9294819350252815,0.9300457701783699,0.30426100200941836,0.8837660487322191,2199.820581559357,4.955489257959929e-233,3
반응왜곡(인상관리),156,10,10,0.628576157711944,0.628576157711944,0.628576157711944,0.628576157711944,0.6346283356144683,0.14983819445214425,0.6566682197671148,235.89455156749202,1.0635819125065034e-27,2
반응왜곡(자기기만),156,10,10,0.8328071587740482,0.8328071587740482,0.8328071587740482,0.8328071587740482,0.8373981891828539,0.33816913017967637,0.8553074278485476,462.9991426314205,9.201891972462641e-71,1
응답주의(주의력검사),156,10,10,0.11595616998184664,0.11595616998184664,0.11595616998184664,0.11595616998184664,0.15699815643377232,0.05038049270512848,0.4989052896003813,2.140101034595759,0.5438427468754286,0
